id,year,y,x,treat,post,cluster,province
77,2000,11.520,0.76,0,0,8,C
78,2000,11.540,0.77,0,0,9,A
79,2000,11.560,0.78,0,0,10,B
80,2000,11.580,0.79,0,0,1,C
81,2000,11.600,0.80,0,0,2,A
82,2000,11.620,0.81,0,0,3,B
83,2000,11.640,0.82,0,0,4,C
84,2000,11.660,0.83,0,0,5,A
85,2000,11.680,0.84,0,0,6,B
86,2000,11.700,0.85,0,0,7,C
87,2000,11.720,0.86,0,0,8,A
88,2000,11.740,0.87,0,0,9,B
89,2000,11.760,0.88,0,0,10,C
90,2000,11.780,0.89,0,0,1,A
91,2000,11.800,0.90,0,0,2,B
92,2000,11.820,0.91,0,0,3,C
93,2000,11.840,0.92,0,0,4,A
94,2000,11.860,0.93,0,0,5,B
95,2000,11.880,0.94,0,0,6,C
96,2000,11.900,0.95,0,0,7,A
97,2000,11.920,0.96,0,0,8,B
98,2000,11.940,0.97,0,0,9,C
99,2000,11.960,0.98,0,0,10,A
100,2000,11.980,0.99,0,0,1,B
101,2000,13.500,1.00,1,0,2,C
102,2000,13.520,1.01,1,0,3,A
103,2000,13.540,1.02,1,0,4,B
104,2000,13.560,1.03,1,0,5,C
105,2000,13.580,1.04,1,0,6,A
106,2000,13.600,1.05,1,0,7,B
107,2000,13.620,1.06,1,0,8,C
108,2000,13.640,1.07,1,0,9,A
109,2000,13.660,1.08,1,0,10,B
110,2000,13.680,1.09,1,0,1,C
111,2000,13.700,1.10,1,0,2,A
112,2000,13.720,1.11,1,0,3,B
113,2000,13.740,1.12,1,0,4,C
114,2000,13.760,1.13,1,0,5,A
115,2000,13.780,1.14,1,0,6,B
116,2000,13.800,1.15,1,0,7,C
117,2000,13.820,1.16,1,0,8,A
118,2000,13.840,1.17,1,0,9,B
119,2000,13.860,1.18,1,0,10,C
120,2000,13.880,1.19,1,0,1,A
121,2000,13.900,1.20,1,0,2,B
122,2000,13.920,1.21,1,0,3,C
123,2000,13.940,1.22,1,0,4,A
124,2000,13.960,1.23,1,0,5,B
125,2000,13.980,1.24,1,0,6,C
126,2000,14.000,1.25,1,0,7,A
127,2000,14.020,1.26,1,0,8,B
128,2000,14.040,1.27,1,0,9,C
129,2000,14.060,1.28,1,0,10,A
130,2000,14.080,1.29,1,0,1,B
131,2000,14.100,1.30,1,0,2,C
132,2000,14.120,1.31,1,0,3,A
133,2000,14.140,1.32,1,0,4,B
134,2000,14.160,1.33,1,0,5,C
135,2000,14.180,1.34,1,0,6,A
136,2000,14.200,1.35,1,0,7,B
137,2000,14.220,1.36,1,0,8,C
138,2000,14.240,1.37,1,0,9,A
139,2000,14.260,1.38,1,0,10,B
140,2000,14.280,1.39,1,0,1,C
141,2000,14.300,1.40,1,0,2,A
142,2000,14.320,1.41,1,0,3,B
143,2000,14.340,1.42,1,0,4,C
144,2000,14.360,1.43,1,0,5,A
145,2000,14.380,1.44,1,0,6,B
146,2000,14.400,1.45,1,0,7,C
147,2000,14.420,1.46,1,0,8,A
148,2000,14.440,1.47,1,0,9,B
149,2000,14.460,1.48,1,0,10,C
150,2000,14.480,1.49,1,0,1,A
151,2000,14.500,1.50,1,0,2,B
152,2000,14.520,1.51,1,0,3,C
153,2000,14.540,1.52,1,0,4,A
154,2000,14.560,1.53,1,0,5,B
155,2000,14.580,1.54,1,0,6,C
156,2000,14.600,1.55,1,0,7,A
157,2000,14.620,1.56,1,0,8,B
158,2000,14.640,1.57,1,0,9,C
159,2000,14.660,1.58,1,0,10,A
160,2000,14.680,1.59,1,0,1,B
161,2000,14.700,1.60,1,0,2,C
162,2000,14.720,1.61,1,0,3,A
163,2000,14.740,1.62,1,0,4,B
164,2000,14.760,1.63,1,0,5,C
165,2000,14.780,1.64,1,0,6,A
166,2000,14.800,1.65,1,0,7,B
167,2000,14.820,1.66,1,0,8,C
168,2000,14.840,1.67,1,0,9,A
169,2000,14.860,1.68,1,0,10,B
170,2000,14.880,1.69,1,0,1,C
171,2000,14.900,1.70,1,0,2,A
172,2000,14.920,1.71,1,0,3,B
173,2000,14.940,1.72,1,0,4,C
174,2000,14.960,1.73,1,0,5,A
175,2000,14.980,1.74,1,0,6,B
176,2000,15.000,1.75,1,0,7,C
177,2000,15.020,1.76,1,0,8,A
178,2000,15.040,1.77,1,0,9,B
179,2000,15.060,1.78,1,0,10,C
180,2000,15.080,1.79,1,0,1,A
181,2000,15.100,1.80,1,0,2,B
182,2000,15.120,1.81,1,0,3,C
183,2000,15.140,1.82,1,0,4,A
184,2000,15.160,1.83,1,0,5,B
185,2000,15.180,1.84,1,0,6,C
186,2000,15.200,1.85,1,0,7,A
187,2000,15.220,1.86,1,0,8,B
188,2000,15.240,1.87,1,0,9,C
189,2000,15.260,1.88,1,0,10,A
190,2000,15.280,1.89,1,0,1,B
191,2000,15.300,1.90,1,0,2,C
192,2000,15.320,1.91,1,0,3,A
193,2000,15.340,1.92,1,0,4,B
194,2000,15.360,1.93,1,0,5,C
195,2000,15.380,1.94,1,0,6,A
196,2000,15.400,1.95,1,0,7,B
197,2000,15.420,1.96,1,0,8,C
198,2000,15.440,1.97,1,0,9,A
199,2000,15.460,1.98,1,0,10,B
200,2000,15.480,1.99,1,0,1,C
201,2000,15.500,2.00,1,0,2,A
